"name","Lwr95CI","Estimate","Upr95CI","t value","p value"
"(Intercept)",-4.68267216623046,-4.63126766218264,-4.57986315813481,-176.599611310987,0
"log10(Length)",2.85635437623707,2.87699416598257,2.89763395572807,273.227713369858,0
"Year2004",0.0210594652092939,0.113186588843253,0.205313712477213,2.40823295342091,0.0160446364141551
"Year2009",-0.486749208632762,-0.417158419713389,-0.347567630794016,-11.7500655354732,0
"Year2011",-0.434217115817219,-0.353689802708989,-0.273162489600758,-8.60935003288362,0
"Year2014",-0.532503410144407,-0.457794899499945,-0.383086388855483,-12.0113523287738,0
"Year2019",-0.486259472819503,-0.401441024117081,-0.316622575414659,-9.27731840093123,0
"Year2021",-0.743542793656185,-0.655333157949124,-0.567123522242064,-14.5625406024973,0
"log10(Length):Year2004",-0.071653024241611,-0.0349376347147658,0.00177775481207931,-1.86524719202492,0.0621706698743578
"log10(Length):Year2009",0.132993717553283,0.161059137296655,0.189124557040028,11.2487654633087,0
"log10(Length):Year2011",0.105604707634833,0.138327737690282,0.171050767745732,8.28603566378533,0
"log10(Length):Year2014",0.144838396610725,0.174747031078256,0.204655665545788,11.4526043127618,0
"log10(Length):Year2019",0.123664675355471,0.157966176650346,0.192267677945221,9.02697029855964,0
"log10(Length):Year2021",0.228827427594573,0.264193372711826,0.299559317829078,14.6429198670868,0
