"name","Lwr95CI","Point estimate","Upr95CI"
"Year2003",-4.489,-4.43,-4.371
"Year2004",-4.2363,-4.1444,-4.0525
"Year2007",-4.7254,-4.6689,-4.6124
"Year2010",-4.7478,-4.701,-4.6543
"Year2013",-5.1614,-5.1083,-5.0552
"Year2016",-4.9109,-4.8093,-4.7076
"Year2019",-4.7391,-4.688,-4.6368
"Year2022",-4.8855,-4.8223,-4.7591
"Year2003:log10(Length)",2.7717,2.7955,2.8193
"Year2004:log10(Length)",2.6568,2.6933,2.7299
"Year2007:log10(Length)",2.8662,2.8893,2.9124
"Year2010:log10(Length)",2.8714,2.8908,2.9102
"Year2013:log10(Length)",3.0329,3.0545,3.076
"Year2016:log10(Length)",2.8974,2.9373,2.9771
"Year2019:log10(Length)",2.8666,2.8876,2.9085
"Year2022:log10(Length)",2.9173,2.9427,2.9681
